,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
5963,8901,,Cyprus,2020-01-22,0.0,0.0
5964,8902,,Cyprus,2020-01-23,0.0,0.0
5965,8903,,Cyprus,2020-01-24,0.0,0.0
5966,8904,,Cyprus,2020-01-25,0.0,0.0
5967,8905,,Cyprus,2020-01-26,0.0,0.0
5968,8906,,Cyprus,2020-01-27,0.0,0.0
5969,8907,,Cyprus,2020-01-28,0.0,0.0
5970,8908,,Cyprus,2020-01-29,0.0,0.0
5971,8909,,Cyprus,2020-01-30,0.0,0.0
5972,8910,,Cyprus,2020-01-31,0.0,0.0
5973,8911,,Cyprus,2020-02-01,0.0,0.0
5974,8912,,Cyprus,2020-02-02,0.0,0.0
5975,8913,,Cyprus,2020-02-03,0.0,0.0
5976,8914,,Cyprus,2020-02-04,0.0,0.0
5977,8915,,Cyprus,2020-02-05,0.0,0.0
5978,8916,,Cyprus,2020-02-06,0.0,0.0
5979,8917,,Cyprus,2020-02-07,0.0,0.0
5980,8918,,Cyprus,2020-02-08,0.0,0.0
5981,8919,,Cyprus,2020-02-09,0.0,0.0
5982,8920,,Cyprus,2020-02-10,0.0,0.0
5983,8921,,Cyprus,2020-02-11,0.0,0.0
5984,8922,,Cyprus,2020-02-12,0.0,0.0
5985,8923,,Cyprus,2020-02-13,0.0,0.0
5986,8924,,Cyprus,2020-02-14,0.0,0.0
5987,8925,,Cyprus,2020-02-15,0.0,0.0
5988,8926,,Cyprus,2020-02-16,0.0,0.0
5989,8927,,Cyprus,2020-02-17,0.0,0.0
5990,8928,,Cyprus,2020-02-18,0.0,0.0
5991,8929,,Cyprus,2020-02-19,0.0,0.0
5992,8930,,Cyprus,2020-02-20,0.0,0.0
5993,8931,,Cyprus,2020-02-21,0.0,0.0
5994,8932,,Cyprus,2020-02-22,0.0,0.0
5995,8933,,Cyprus,2020-02-23,0.0,0.0
5996,8934,,Cyprus,2020-02-24,0.0,0.0
5997,8935,,Cyprus,2020-02-25,0.0,0.0
5998,8936,,Cyprus,2020-02-26,0.0,0.0
5999,8937,,Cyprus,2020-02-27,0.0,0.0
6000,8938,,Cyprus,2020-02-28,0.0,0.0
6001,8939,,Cyprus,2020-02-29,0.0,0.0
6002,8940,,Cyprus,2020-03-01,0.0,0.0
6003,8941,,Cyprus,2020-03-02,0.0,0.0
6004,8942,,Cyprus,2020-03-03,0.0,0.0
6005,8943,,Cyprus,2020-03-04,0.0,0.0
6006,8944,,Cyprus,2020-03-05,0.0,0.0
6007,8945,,Cyprus,2020-03-06,0.0,0.0
6008,8946,,Cyprus,2020-03-07,0.0,0.0
6009,8947,,Cyprus,2020-03-08,0.0,0.0
6010,8948,,Cyprus,2020-03-09,2.0,0.0
6011,8949,,Cyprus,2020-03-10,3.0,0.0
6012,8950,,Cyprus,2020-03-11,6.0,0.0
6013,8951,,Cyprus,2020-03-12,6.0,0.0
6014,8952,,Cyprus,2020-03-13,14.0,0.0
6015,8953,,Cyprus,2020-03-14,26.0,0.0
6016,8954,,Cyprus,2020-03-15,26.0,0.0
6017,8955,,Cyprus,2020-03-16,33.0,0.0
6018,8956,,Cyprus,2020-03-17,46.0,0.0
6019,8957,,Cyprus,2020-03-18,49.0,0.0
6020,8958,,Cyprus,2020-03-19,67.0,0.0
6021,8959,,Cyprus,2020-03-20,67.0,0.0
6022,8960,,Cyprus,2020-03-21,84.0,0.0
6023,8961,,Cyprus,2020-03-22,95.0,1.0
6024,8962,,Cyprus,2020-03-23,116.0,1.0
6025,8963,,Cyprus,2020-03-24,124.0,3.0
6026,8964,,Cyprus,2020-03-25,132.0,3.0
6027,8965,,Cyprus,2020-03-26,146.0,3.0
6028,8966,,Cyprus,2020-03-27,162.0,5.0
6029,8967,,Cyprus,2020-03-28,179.0,5.0
